DATA_COMPRA,COD_CLIENTE,COD_PRODUTO,NOME_PRODUTO
20200514,99CMMP01,26724,SMARTPHONE SAMSUNG GAL A51 128GB AZUL        
20200514,95881901,25728,SMARTPHONE SAMSUNG GAL J4 CORE 16GB PRETO    
20200511,10649301,25726,SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRETO    
20200509,9O6UDF01,26327,"TELEVISOR SMART 55"" 55P8M 4K UHD BLT SEMP TCL"
20200509,9O445D01,23802,BOOMBOX BX-19 BIVOLT UP DYNAMIC              
20200509,20129301,26325,"TELEVISOR SMART 43"" 43S5300 HD BLUET SEMP TCL"
20200508,99F43H01,22218,CONJ.SC-AKX220LBK PANASONIC                  
20200508,99J21A01,26630,TABLET NB316 M7S 16GB QUAD CORE PRETO        
20200508,99J21A01,26528,SMARTPHONE LG K40S LMX430 BMW AZUL           
20200508,99FQXW01,25996,"TELEVISOR 32"" 32S6500S HD LED SEMP TCL       "
20200507,99BTDY01,26548,SMARTPHONE SAMSUNG GAL A10S 32GB VERMELHO    
20200506,21199301,26570,SMARTPHONE SAMSUNG GAL A20S 32GB PRETO       
20200506,21199301,26570,SMARTPHONE SAMSUNG GAL A20S 32GB PRETO       
20200506,99C9JX01,25996,"TELEVISOR 32"" 32S6500S HD LED SEMP TCL       "
20200505,9O46V401,25172,SMARTPHONE LG K9 TV LM-X210BMW PRETO         
20200505,9OF8R301,26569,SMARTPHONE SAMSUNG GAL A10S 32GB PRETO       
20200504,99AZQV01,25998,"TELEVISOR 43"" 43S6500FS FULL HD SEMP TCL     "
20200504,29585401,25727,SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRATA    
20200504,84555101,26606,SMARTPHONE LG K50S 32GB AZUL                 
20200504,84555101,26528,SMARTPHONE LG K40S LMX430 BMW AZUL           
20200504,84555101,26630,TABLET NB316 M7S 16GB QUAD CORE PRETO        
20200504,9ODUM401,25873,SMARTPHONE LG K12 PLUS PLATINUM              
20200501,YZ0OA201,25727,SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRATA    
20200501,YZ0OA201,25535,SMARTPHONE SAMSUNG GAL J2 PRIME S/ TV 16GB DR
20200430,9ODMHN01,26579,SMARTPHONE MOTOROLA MOTO E6 PLAY 32GB CINZA  
20200429,9OGCFJ01,25582,SMARTPHONE LG K11 PLUS DB DOURADO            
20200428,99EHY501,25583,SMARTPHONE LG K11 PLUS DB AZUL               
20200428,9OL3UP01,25354,"TELEVISOR SMART 32"" UN32J4290 SAMSUNG        "
20200427,99L5QD01,26324,"TELEVISOR SMART 32"" 32S5300 HD BLUET SEMP TCL"
20200424,45513901,26572,SMARTPHONE SAMSUNG GAL A20S 32GB VERMELHO    
20200423,99ACGK01,26570,SMARTPHONE SAMSUNG GAL A20S 32GB PRETO       
20200423,44929501,24851,TABLET NB706 MINI MS50L PRETO/GRAFIT         
20200422,47781901,26569,SMARTPHONE SAMSUNG GAL A10S 32GB PRETO       
20200415,9NYRGO01,25727,SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRATA    
20200413,84555101,26585,SMARTPHONE MOTOROLA MOTO ONE MACRO 64GB AZUL 
20200405,9OJ0C701,25193,SMARTPHONE SAMSUNG GAL J6 32GB PRATA         
20200319,75887201,26243,SUPORTE UNIV. BEDIN BU-25                    
20200319,99FYUV01,26424,CAIXA AMPLIFICADA MCO-09 MULTI CONNECT       
20200319,26595301,22617,CELULAR RIU-I R200 DB PRETO-VERMELHO         
20200319,9O0V7R01,24716,RECEPTOR MIDIA BOX HDTV B3                   
20200317,12757201,26243,SUPORTE UNIV. BEDIN BU-25                    
20200317,69436801,25676,SMARTPHONE MOTOROLA MOTO G7 PLAY XT1952-5 DR 
20200316,9O22LF01,25535,SMARTPHONE SAMSUNG GAL J2 PRIME S/ TV 16GB DR
20200316,9O7ZFK01,22444,"TELEVISOR SMART 43"" 43LH5700 LG              "
20200316,34635101,26247,SMARTPHONE LG K8 PLUS PRETO                  
20200314,9NZYHD01,21653,SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750
20200313,10649301,26247,SMARTPHONE LG K8 PLUS PRETO                  
20200313,40378801,24851,TABLET NB706 MINI MS50L PRETO/GRAFIT         
20200312,99BJNJ01,26571,SMARTPHONE SAMSUNG GAL A20S 32GB AZUL        
20200311,99B1CN01,25598,"TELEVISOR SMART 39"" L39S3900FS SEMP TCL      "
20200311,99M2AI01,25366,TABLET NB728 MINI MS40G PRETO                
20200311,27203801,25681,SMARTPHONE MOTOROLA MOTO G7 PLUS XT1965-2 IND
20200310,10714901,25554,TELEVISOR SMART 32 PTV32N87SA LED PHILCO     
20200309,20129301,21855,CELULAR BLU JENNY 2.8 T276 DB PRETO-VERMEL   
20200307,99GY2B01,25729,SMARTPHONE SAMSUNG GAL J4 CORE 16GB COBRE    
20200307,44929501,22932,CAIXA AMPLIFICADA MCO-04 MULT CONNECT MONDIAL
20200306,9OPSSJ01,25535,SMARTPHONE SAMSUNG GAL J2 PRIME S/ TV 16GB DR
20200304,06082601,25435,TABLET NB732 MINI MS50X PRETO                
20200304,06082601,25435,TABLET NB732 MINI MS50X PRETO                
20200303,55772101,25727,SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRATA    
20200303,52508701,25441,SMARTPHONE SAMSUNG GALAXY J810M  64GB VIOLETA
20200303,9O3HKA01,25730,SMARTPHONE SAMSUNG GAL J4 CORE 16GB AZUL     
20200302,9O2YB701,26606,SMARTPHONE LG K50S 32GB AZUL                 
20200302,9OL2Z701,25535,SMARTPHONE SAMSUNG GAL J2 PRIME S/ TV 16GB DR
20200302,51345001,26325,"TELEVISOR SMART 43"" 43S5300 HD BLUET SEMP TCL"
20200229,41208601,21653,SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750
