DATA_COMPRA,COD_CLIENTE,COD_PRODUTO,NOME_PRODUTO
20200514,99A19X01,26570,SMARTPHONE SAMSUNG GAL A20S 32GB PRETO       
20200514,9OPMTA01,25172,SMARTPHONE LG K9 TV LM-X210BMW PRETO         
20200513,99QG1B01,25729,SMARTPHONE SAMSUNG GAL J4 CORE 16GB COBRE    
20200513,64161101,26526,SMARTPHONE LG K12 MAX PLATINUM               
20200513,99CEZL01,25679,SMARTPHONE MOTOROLA MOTO G7 XT1962-4 DB ONIX 
20200512,99DT4301,25580,SMARTPHONE SAMSUNG GAL J6 PLUS 32GB PRETO    
20200511,93758101,25727,SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRATA    
20200510,9OI9H001,25729,SMARTPHONE SAMSUNG GAL J4 CORE 16GB COBRE    
20200509,49264601,25579,SMARTPHONE SAMSUNG GAL J6 PLUS 32GB PRATA    
20200509,9OOHNY01,25996,"TELEVISOR 32"" 32S6500S HD LED SEMP TCL       "
20200509,9O4AGG01,26570,SMARTPHONE SAMSUNG GAL A20S 32GB PRETO       
20200509,9O4AGG01,26570,SMARTPHONE SAMSUNG GAL A20S 32GB PRETO       
20200509,09315801,25871,SMARTPHONE LG K12 PLUS PRETO                 
20200508,9ONY9001,25729,SMARTPHONE SAMSUNG GAL J4 CORE 16GB COBRE    
20200507,99B1FP01,25727,SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRATA    
20200506,99F3AH01,25087,SMARTPHONE SAMSUNG GAL J7 PRIME TV 2 DB PT   
20200506,9O048S01,25726,SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRETO    
20200506,9O048S01,25729,SMARTPHONE SAMSUNG GAL J4 CORE 16GB COBRE    
20200505,000WCR01,26575,SMARTPHONE SAMSUNG GAL A30S 64GB VIOLETA     
20200504,99BYK301,26324,"TELEVISOR SMART 32"" 32S5300 HD BLUET SEMP TCL"
20200503,99FKG001,25727,SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRATA    
20200502,99AG0N01,26527,SMARTPHONE LG K40S LMX430 BMW PRETO          
20200430,9OQ6TW01,11332,ANTENA 1 50 MT MULTIPONTO CENTURY            
20200428,99JZQ301,26548,SMARTPHONE SAMSUNG GAL A10S 32GB VERMELHO    
20200428,YYYOEB01,25727,SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRATA    
20200427,9O6F7O01,26584,SMARTPHONE MOTOROLA MOTO G8 PLUS 64GB CEREJA 
20200427,9OFZYX01,23802,BOOMBOX BX-19 BIVOLT UP DYNAMIC              
20200424,9OQED001,21653,SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750
20200424,YZ0NM401,25577,SMARTPHONE SAMSUNG GALAXY J4 PLUS 32GB PRETO 
20200423,9OBG0U01,25998,"TELEVISOR 43"" 43S6500FS FULL HD SEMP TCL     "
20200423,33505801,26386,SMARTPHONE LG K8 PLUS AZUL                   
20200423,33505801,26630,TABLET NB316 M7S 16GB QUAD CORE PRETO        
20200423,9O73TL01,25727,SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRATA    
20200423,9OQ6TW01,26524,SMARTPHONE LG K12 MAX PRETO                  
20200422,99JZAK01,25193,SMARTPHONE SAMSUNG GAL J6 32GB PRATA         
20200422,9OQ9AT01,26585,SMARTPHONE MOTOROLA MOTO ONE MACRO 64GB AZUL 
20200417,9OLJE801,23802,BOOMBOX BX-19 BIVOLT UP DYNAMIC              
20200416,9O048S01,25577,SMARTPHONE SAMSUNG GALAXY J4 PLUS 32GB PRETO 
20200416,9OCV0B01,26575,SMARTPHONE SAMSUNG GAL A30S 64GB VIOLETA     
20200412,99IU7H01,26570,SMARTPHONE SAMSUNG GAL A20S 32GB PRETO       
20200325,9O73TL01,25441,SMARTPHONE SAMSUNG GALAXY J810M  64GB VIOLETA
20200321,13617501,26387,SMARTPHONE LG K8 PLUS PLATINUM               
20200321,99D6DA01,25435,TABLET NB732 MINI MS50X PRETO                
20200320,91221201,25435,TABLET NB732 MINI MS50X PRETO                
20200320,9O686E01,26325,"TELEVISOR SMART 43"" 43S5300 HD BLUET SEMP TCL"
20200319,99QEHV01,26572,SMARTPHONE SAMSUNG GAL A20S 32GB VERMELHO    
20200319,9OJSCT01,24377,RADIO CJ98 ABRALLK LG                        
20200319,9O748L01,26572,SMARTPHONE SAMSUNG GAL A20S 32GB VERMELHO    
20200318,99524901,25580,SMARTPHONE SAMSUNG GAL J6 PLUS 32GB PRETO    
20200318,99DSYC01,26243,SUPORTE UNIV. BEDIN BU-25                    
20200317,09914701,24555,"TELEVISOR SMART 32"" PH32E20DSGWA PHILCO      "
20200314,46747801,26013,SMARTPHONE SAMSUNG GAL A50  A505 64GB BRANCO 
20200313,9O829601,26247,SMARTPHONE LG K8 PLUS PRETO                  
20200313,00435701,26126,SMARTPHONE SAMSUNG GAL A70  A705 128GB AZUL  
20200311,YZ0C5C01,25193,SMARTPHONE SAMSUNG GAL J6 32GB PRATA         
20200311,YZ0C5C01,25577,SMARTPHONE SAMSUNG GALAXY J4 PLUS 32GB PRETO 
20200310,99G6GV01,25729,SMARTPHONE SAMSUNG GAL J4 CORE 16GB COBRE    
20200310,69472301,25354,"TELEVISOR SMART 32"" UN32J4290 SAMSUNG        "
20200310,14211101,23966,"TELEVISOR SMART 32"" PH32B51DSWGA PHILCO      "
20200310,9O4TU601,25904,"TELEVISOR SMART 50"" UHD BT UN50RU7100 SAMSUNG"
20200309,90539401,19729,PEN DRIVE 8GB PD587 TWIST PRETO              
20200309,67753001,26528,SMARTPHONE LG K40S LMX430 BMW AZUL           
20200309,16012601,21653,SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750
20200307,90015401,26574,SMARTPHONE SAMSUNG GAL A30S 64GB BRANCO      
20200307,9OLRCJ01,25729,SMARTPHONE SAMSUNG GAL J4 CORE 16GB COBRE    
20200307,19429601,25580,SMARTPHONE SAMSUNG GAL J6 PLUS 32GB PRETO    
20200307,9O6D6301,26325,"TELEVISOR SMART 43"" 43S5300 HD BLUET SEMP TCL"
20200306,99C3Y301,26247,SMARTPHONE LG K8 PLUS PRETO                  
20200306,99EPTO01,25726,SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRETO    
20200306,99EH5U01,25726,SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRETO    
20200306,99C1TW01,24525,BOX LINE OCM 3915 ONEAL                      
20200304,65155301,25738,"TELEVISOR SMART 43"" PTV43E60SN LED PHILCO    "
20200303,08766201,26572,SMARTPHONE SAMSUNG GAL A20S 32GB VERMELHO    
20200303,9NZQ8I01,25579,SMARTPHONE SAMSUNG GAL J6 PLUS 32GB PRATA    
20200302,19931801,25577,SMARTPHONE SAMSUNG GALAXY J4 PLUS 32GB PRETO 
