DATA_COMPRA,COD_CLIENTE,COD_PRODUTO,NOME_PRODUTO
20200515,99DL9N01,26243,SUPORTE UNIV. BEDIN BU-25                    
20200515,99DL9N01,26243,SUPORTE UNIV. BEDIN BU-25                    
20200515,77602301,21653,SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750
20200515,22047601,21653,SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750
20200515,69222401,21653,SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750
20200515,99L6ZO01,21653,SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750
20200515,99JBQK01,25996,"TELEVISOR 32"" 32S6500S HD LED SEMP TCL       "
20200515,06554901,21653,SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750
20200515,9OP7MT01,21653,SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750
20200515,86842301,20599,ROTEADOR RE160 300 MBPS NOVO (05)            
20200515,99CVEA01,21653,SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750
20200515,9OB8YL01,21653,SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750
20200515,47477801,21653,SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750
20200515,47477801,26325,"TELEVISOR SMART 43"" 43S5300 HD BLUET SEMP TCL"
20200515,99MH4O01,25996,"TELEVISOR 32"" 32S6500S HD LED SEMP TCL       "
20200515,99MH4O01,21653,SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750
20200515,18227501,19525,RADIO RECEPTOR 2 FXS RM PFT22AC              
20200515,01952001,24716,RECEPTOR MIDIA BOX HDTV B3                   
20200515,22990901,21653,SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750
20200515,99DP0Q01,21653,SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750
20200515,01952001,21029,ANTENA 1.70 MT MULTIPONTO CENTURY            
20200515,54951201,25996,"TELEVISOR 32"" 32S6500S HD LED SEMP TCL       "
20200515,20655301,21653,SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750
20200515,99E7G601,21653,SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750
20200515,99C02V01,21653,SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750
20200515,31550601,21653,SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750
20200515,54951201,21653,SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750
20200515,99LZ4U01,21653,SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750
20200515,84626701,21653,SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750
20200515,84626701,26325,"TELEVISOR SMART 43"" 43S5300 HD BLUET SEMP TCL"
20200515,99HGL501,25904,"TELEVISOR SMART 50"" UHD BT UN50RU7100 SAMSUNG"
20200515,99HGL501,21653,SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750
20200515,9O9FL901,26327,"TELEVISOR SMART 55"" 55P8M 4K UHD BLT SEMP TCL"
20200515,9O9FL901,21653,SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750
20200515,90571901,26574,SMARTPHONE SAMSUNG GAL A30S 64GB BRANCO      
20200515,09360301,21653,SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750
20200515,9OFZMC01,21653,SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750
20200515,9OONYI01,25728,SMARTPHONE SAMSUNG GAL J4 CORE 16GB PRETO    
20200515,9O5P8X01,26585,SMARTPHONE MOTOROLA MOTO ONE MACRO 64GB AZUL 
20200515,9OBZW301,21653,SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750
20200515,02058601,21653,SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750
